street,paris,Bonne Nouvelle,rue Sainte-Apolline,48.8689373,2.3540252
street,paris,Archives,rue Sainte-Anastase,48.85966250000001,2.3637817
street,paris,Sainte-Avoye,passage Sainte-Avoie,48.860627,2.3560584
street,paris,Arts et Métiers,rue Bailly,48.8651448,2.3560095
street,paris,Sainte-Avoye,impasse Berthaud,48.8615009,2.354274
street,paris,Sainte-Avoye,rue Brantôme,48.8621394,2.3529567
street,paris,Enfants Rouges,rue de Bretagne,48.86316009999999,2.3620125
street,paris,Archives,impasse Saint-Claude,48.86032429999999,2.3656982
street,paris,Arts et Métiers,rue Conté,48.8659026,2.3563856
street,paris,Archives,rue Elzévir,48.85844909999999,2.3616967
street,paris,Archives,rue du Foin,48.85697039999999,2.3652264
street,paris,Enfants Rouges,rue Froissart,48.8617138,2.3653907
street,paris,Archives,rue Saint-Gilles,48.8578695,2.3664147
street,paris,Sainte-Avoye,passage des Gravilliers,48.863485,2.3569001
street,paris,Sainte-Avoye,rue des Haudriettes,48.8616026,2.357525
street,paris,Arts et Métiers,rue au Maire,48.8646853,2.3560821
street,paris,Sainte-Avoye,passage du Commerce Saint-Martin,,
street,paris,Sainte-Avoye,passage du Maure,48.8618563,2.3533862
street,paris,Arts et Métiers,passage Meslay,48.8683465,2.3592331
street,paris,Archives,rue des Minimes,48.8571928,2.3661422
street,paris,Sorbonne,rue de Latran,48.8496922,2.3464881
street,paris,Saint-Victor,rue Linné,48.8451197,2.3546884
street,paris,Saint-Victor,port de la Tournelle,48.84981399999999,2.356102
street,paris,Sorbonne,place Saint-Michel,48.8535346,2.3438169
street,paris,Saint-Germain des Prés,rue de l'Abbaye,48.8542156,2.3348554
street,paris,Monnaie,place Saint-André des Arts,48.8530501,2.3429933
street,paris,Notre-Dame des Champs,rue Joseph Bara,48.8421098,2.333602
street,paris,Notre-Dame des Champs,rue de Cicé,48.8437712,2.3275719
street,paris,Odéon,rue Clément,48.852503,2.3361306
street,paris,Monnaie,rue Gît-Le-Coeur,48.8536894,2.3426116
street,paris,Saint-Germain des Prés,place Jacques Copeau,,
street,paris,Monnaie,rue Dauphine,48.8548577,2.3394552
street,paris,Notre-Dame des Champs,rue Blaise-Desgoffe,48.8457331,2.3249404
street,paris,Odéon,rue Dupuytren,48.8516624,2.3394784
street,paris,Monnaie,rue Francisque Gay,48.85284499999999,2.34351
street,paris,Odéon,place André Honnorat,48.8445024,2.3365295
street,paris,Odéon,rue Lobineau,48.8517186,2.3361585
street,paris,Monnaie,rue du Pont de Lodi,48.8550429,2.340349
street,paris,Odéon,rue Mabillon,48.8519423,2.3352553
street,paris,Monnaie,rue de Nesle,48.855199,2.3391306
street,paris,Odéon,carrefour de l'Odéon,48.8520614,2.338693
street,paris,Notre-Dame des Champs,rue Péguy,48.8429192,2.3280283
street,paris,Notre-Dame des Champs,rue Saint-Placide,48.8489984,2.3254167
street,paris,Notre-Dame des Champs,rue Régis,48.8479775,2.3246297
street,paris,Odéon,rue de Rennes,48.8491398,2.3288698
street,paris,Notre-Dame des Champs,impasse Robiquet,48.8438374,2.3256986
street,paris,Notre-Dame des Champs,rue Saint-Romain,48.8475318,2.3208674
street,paris,Notre-Dame des Champs,square Saint-Romain,48.8477226,2.3209157
street,paris,Monnaie,rue de Savoie,48.8543359,2.3413467
street,paris,Monnaie,rue Séguier,48.853968,2.341969
street,paris,Faubourg Montmartre,voie G/9,48.86010779999999,2.3338163
street,paris,Monnaie,rue de Seine,48.8545182,2.3369031
street,paris,Notre-Dame des Champs,rue Paul Séjourné,48.8416082,2.3320315
street,paris,Belleville,Belvédère Willy Ronis,48.8710678,2.3847051
street,paris,Odéon,rue Saint-Sulpice,48.85132249999999,2.335699
street,paris,Notre-Dame des Champs,rue Duguay-Trouin,48.8462822,2.330407
street,paris,Saint-Germain des Prés,port des Saints-Pères,48.8581357,2.3356087
street,paris,Notre-Dame des Champs,boulevard du Montparnasse,48.8430905,2.3265248
street,paris,Gros Caillou,rue de Belgrade,48.8557522,2.3018559
street,paris,Gros Caillou,avenue de La Bourdonnais,48.8575741,2.3002394
street,paris,Gros Caillou,allée Léon Bourgeois,,
street,paris,Invalides,rue de Bourgogne,48.8580556,2.3176659
street,paris,Gros Caillou,avenue du Docteur Brouardel,48.8552745,2.2957544
street,paris,Gros Caillou,port du Gros Caillou,48.86303969999999,2.3078421
street,paris,Gros Caillou,rue du Général Camou,48.8589447,2.2997471
street,paris,Gros Caillou,rue Jean Carriès,48.8526822,2.2998059
street,paris,Ecole Militaire,place Denys Cochin,48.8536875,2.3100037
street,paris,Gros Caillou,rue Louis Codet,48.8550227,2.3086664
street,paris,Invalides,rue de Constantine,48.8586389,2.3146859
street,paris,Saint-Thomas d'Aquin,place Saint-Thomas d'Aquin,48.8560628,2.3275014
street,paris,Gros Caillou,allée Paul Deschanel,,
street,paris,Gros Caillou,avenue Charles Floquet,48.8546366,2.296767
street,paris,Gros Caillou,place du Général Gouraud,48.857682,2.3002991
street,paris,Gros Caillou,avenue Octave Gréard,48.8566797,2.2935503
street,paris,Saint-Thomas d'Aquin,rue Saint-Guillaume,48.8546251,2.3289415
street,paris,Invalides,port des Invalides,48.8633272,2.3148802
street,paris,Gros Caillou,allée Adrienne Lecouvreur,48.8560564,2.3003419
street,paris,Saint-Thomas d'Aquin,square de Luynes,48.85492499999999,2.3265532
street,paris,Gros Caillou,rue Malar,48.86115119999999,2.3054962
street,paris,Gros Caillou,avenue du Général Marguerite,48.8554719,2.2995011
