"street",paris,"Notre-Dame des Champs","rue de Cicé"
"street",paris,"Odéon","rue Clément"
"street",paris,"Monnaie","rue Gît-Le-Coeur"
"street",paris,"Saint-Germain des Prés","place Jacques Copeau"
"street",paris,"Monnaie","rue Dauphine"
"street",paris,"Notre-Dame des Champs","rue Blaise-Desgoffe"
"street",paris,"Odéon","rue Dupuytren"
"street",paris,"Monnaie","rue Francisque Gay"
"street",paris,"Odéon","place André Honnorat"
"street",paris,"Odéon","rue Lobineau"
"street",paris,"Monnaie","rue du Pont de Lodi"
"street",paris,"Odéon","rue Mabillon"
"street",paris,"Monnaie","rue de Nesle"
"street",paris,"Odéon","carrefour de l'Odéon"
"street",paris,"Notre-Dame des Champs","rue Péguy"
"street",paris,"Notre-Dame des Champs","rue Saint-Placide"
"street",paris,"Notre-Dame des Champs","rue Régis"
"street",paris,"Odéon","rue de Rennes"
"street",paris,"Notre-Dame des Champs","impasse Robiquet"
"street",paris,"Notre-Dame des Champs","rue Saint-Romain"
"street",paris,"Notre-Dame des Champs","square Saint-Romain"
"street",paris,"Monnaie","rue de Savoie"
"street",paris,"Monnaie","rue Séguier"
"street",paris,"Faubourg Montmartre","voie G/9"
"street",paris,"Monnaie","rue de Seine"
"street",paris,"Notre-Dame des Champs","rue Paul Séjourné"
"street",paris,"Belleville","Belvédère Willy Ronis"
"street",paris,"Odéon","rue Saint-Sulpice"
"street",paris,"Notre-Dame des Champs","rue Duguay-Trouin"
"street",paris,"Saint-Germain des Prés","port des Saints-Pères"
"street",paris,"Notre-Dame des Champs","boulevard du Montparnasse"
"street",paris,"Gros Caillou","rue de Belgrade"
"street",paris,"Gros Caillou","avenue de La Bourdonnais"
"street",paris,"Gros Caillou","allée Léon Bourgeois"
"street",paris,"Invalides","rue de Bourgogne"
"street",paris,"Gros Caillou","avenue du Docteur Brouardel"
"street",paris,"Gros Caillou","port du Gros Caillou"
"street",paris,"Gros Caillou","rue du Général Camou"
"street",paris,"Gros Caillou","rue Jean Carriès"
"street",paris,"Ecole Militaire","place Denys Cochin"
"street",paris,"Gros Caillou","rue Louis Codet"
"street",paris,"Invalides","rue de Constantine"
"street",paris,"Saint-Thomas d'Aquin","place Saint-Thomas d'Aquin"
"street",paris,"Gros Caillou","allée Paul Deschanel"
"street",paris,"Gros Caillou","avenue Charles Floquet"
"street",paris,"Gros Caillou","place du Général Gouraud"
"street",paris,"Gros Caillou","avenue Octave Gréard"
"street",paris,"Saint-Thomas d'Aquin","rue Saint-Guillaume"
"street",paris,"Invalides","port des Invalides"
"street",paris,"Gros Caillou","allée Adrienne Lecouvreur"
"street",paris,"Saint-Thomas d'Aquin","square de Luynes"
"street",paris,"Gros Caillou","rue Malar"
"street",paris,"Gros Caillou","avenue du Général Marguerite"
"street",paris,"Gros Caillou","rue Marinoni"
"street",paris,"Invalides","rue de Martignac"
"street",paris,"Ecole Militaire","place de l'École Militaire"
"street",paris,"Saint-Thomas d'Aquin","rue Montalembert"
"street",paris,"Saint-Thomas d'Aquin","rue de Narbonne"
"street",paris,"Gros Caillou","passage Jean Nicot"
"street",paris,"Gros Caillou","allée Jean Paulhan"
"street",paris,"Gros Caillou","square Rapp"
"street",paris,"Gros Caillou","square Sédillot"
"street",paris,"Ecole Militaire","villa de Ségur"
"street",paris,"Saint-Thomas d'Aquin","rue de Saint-Simon"
"street",paris,"Invalides","rue de Solférino"
"street",paris,"Gros Caillou","passage de l'Union"
"street",paris,"Gros Caillou","rue Valadon"
"street",paris,"Invalides","cité Vaneau"
"street",paris,"Saint-Thomas d'Aquin","rue de Varenne"
"street",paris,"Saint-Thomas d'Aquin","rue Velpeau"
"street",paris,"Saint-Thomas d'Aquin","rue de Verneuil"
"street",paris,"Saint-Thomas d'Aquin","quai Voltaire"
"street",paris,"Invalides","pont de la Concorde"
"street",paris,"Invalides","pont Alexandre III"
"street",paris,"Madeleine","place Saint-Augustin"
"street",paris,"Faubourg du Roule","rue Beaujon"
"street",paris,"Europe","rue de Berne"
"street",paris,"Europe","rue Bernoulli"
